Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,102,276,189,2.9,32,189.0,0.0328,183.0,747.89,1
Resistance,107,288,198,3.02,27,198.0,0.082,183.0,293.58,2
Resistance,120,297,208,2.95,23,208.0,0.1366,183.0,156.88,3
Resistance,122,316,219,3.24,18,219.0,0.1967,183.0,87.07,4
Resistance,126,343,234,3.61,16,234.0,0.2787,183.0,55.42,5
Resistance,14,491,253,7.95,5,253.0,0.3825,183.0,12.74,6
Resistance,74,495,285,7.02,3,285.0,0.5574,183.0,5.29,7
Resistance,-25,653,314,11.31,2,314.0,0.7158,183.0,2.76,8
Support,89,267,178,2.96,39,178.0,0.0273,183.0,1044.95,1
Support,61,189,125,2.14,12,125.0,0.3169,183.0,36.7,2
Support,50,184,117,2.23,11,117.0,0.3607,183.0,29.68,3
Support,-56,271,107,5.45,4,107.0,0.4153,183.0,9.41,4
Support,136,136,136,0.0,2,136.0,0.2568,183.0,7.5,5
Support,160,160,160,0.0,1,160.0,0.1257,183.0,7.37,6
Support,-192,359,83,9.19,2,83.0,0.5464,183.0,3.59,7
Support,41,84,62,0.71,2,62.0,0.6612,183.0,2.98,8
